"","date","KE","BQ","RO","SE","CL","SM","Sus","Med","Res"
"1",2017-07-03,"12 (100)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","12 (100)","0 (0)","0 (0)"
"2",2017-07-14,"3 (60)","1 (20)","1 (20)","0 (0)","0 (0)","0 (0)","5 (100)","0 (0)","0 (0)"
"3",2017-07-20,"1 (33.3)","1 (33.3)","1 (33.3)","0 (0)","0 (0)","0 (0)","3 (99.9)","0 (0)","0 (0)"
"4",2017-07-31,"30 (78.9)","4 (10.5)","3 (7.9)","1 (2.6)","0 (0)","0 (0)","37 (97.3)","1 (2.6)","0 (0)"
"5",2017-08-10,"105 (68.2)","20 (13)","23 (14.9)","6 (3.9)","0 (0)","0 (0)","148 (96.1)","6 (3.9)","0 (0)"
"6",2017-08-23,"104 (75.4)","5 (3.6)","15 (10.9)","13 (9.4)","0 (0)","1 (0.7)","124 (89.9)","13 (9.4)","1 (0.7)"
"7",2017-09-13,"60 (48)","1 (0.8)","11 (8.8)","34 (27.2)","18 (14.4)","1 (0.8)","72 (57.6)","34 (27.2)","19 (15.2)"
"8",2018-08-20,"3 (100)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","3 (100)","0 (0)","0 (0)"
"9",2018-08-28,"4 (57.1)","0 (0)","3 (42.9)","0 (0)","0 (0)","0 (0)","7 (100)","0 (0)","0 (0)"
"10",2018-09-05,"19 (61.3)","4 (12.9)","8 (25.8)","0 (0)","0 (0)","0 (0)","31 (100)","0 (0)","0 (0)"
"11",2018-09-24,"97 (58.8)","18 (10.9)","26 (15.8)","19 (11.5)","5 (3)","0 (0)","141 (85.5)","19 (11.5)","5 (3)"
"12",2019-08-14,"167 (66.8)","36 (14.4)","34 (13.6)","11 (4.4)","2 (0.8)","0 (0)","237 (94.8)","11 (4.4)","2 (0.8)"
"13",2019-08-27,"87 (44.2)","24 (12.2)","29 (14.7)","40 (20.3)","15 (7.6)","2 (1)","140 (71.1)","40 (20.3)","17 (8.6)"
